["06E8:007C:0DDD:0079","MiketheManchild","the Children of Men's \"Project Skyscraper\""]
["0DA8:0080:04CA:005B","CraftyAce","Bubble"]
["0177:007E:0B59:000D","debert58","Voyager 23-1 C 750"]
["0195:0081:0A6F:0062","debert58","Voyager 23-1 C 700"]
["02C8:00D6:02C8:0079","debert58","Gemini 15"]
["02EF:007F:09C0:001D","debert58","Voyager 23-1 C 550"]
["0345:0081:03CB:005E","debert58","Voyager 23-1 C 650"]
["038C:007E:039E:0079","debert58","BHS Alpha"]
["03F9:0078:0280:019B","debert58","Blacksands Center (TLC HQ)"]
["0426:0078:0D59:01D4","debert58","Phoenix SCA Embassy"]
["042D:007F:0D54:007E","debert58","New Cardiff"]
["047E:0079:0216:0037","debert58","Roellerma Foundations Headquarters"]
["0643:0081:01A1:0079","debert58","BHS PSRC"]
["064A:0082:01B9:0022","debert58","Amino Hub Outpost"]
["07FA:0081:07F9:0036","debert58","Black Hole Suns Qitanian Temp"]
["0800:0087:0800:0079","debert58","Surveyor 00"]
["0858:0090:0858:0079","debert58","Surveyor 01"]
["08B1:0095:08B1:0079","debert58","Surveyor 02"]
["090A:009A:090A:0079","debert58","Surveyor 03"]
["0963:009F:0963:0079","debert58","Surveyor 04"]
["09BC:00A4:09BC:0079","debert58","Surveyor 05"]
["0A15:00A9:0A15:0079","debert58","Surveyor 06"]
["0A6E:00AE:0A6E:0079","debert58","Surveyor 07"]
["0AC7:00B3:0AC7:0079","debert58","Surveyor 08"]
["0B20:00B8:0B20:0079","debert58","Surveyor 09"]
["0B79:00BD:0B79:0079","debert58","Surveyor 10"]
["0BD2:00C2:0BD2:0079","debert58","Surveyor 11"]
["0C2B:00C7:0C2B:0079","debert58","Surveyor 12"]
["0C84:00CC:0C84:0079","debert58","Surveyor 13"]
["0CDD:00D1:0CDD:0079","debert58","Surveyor 14"]
["0D14:0081:03F5:0079","debert58","BHS Beta"]
["0D36:00D6:0D36:0079","debert58","Surveyor 15"]
["0D8F:00DB:0D8F:0079","debert58","Surveyor 16"]
["0DCA:007F:08F6:0079","debert58","Voyager 23-1 C 600"]
["0DE8:00E0:0DE8:0079","debert58","Surveyor 17"]
["0E1F:007E:09FE:0079","debert58","BHS Delta"]
["0E40:0083:04E8:001C","debert58","Geknip GangHub"]
["0E41:00E5:0E41:0079","debert58","Surveyor 18"]
["0E9A:00EA:0E9A:0079","debert58","Surveyor 19"]
["0EED:0084:0853:00D5","debert58","Phu Ket Valley Ranch"]
["0EF3:00EF:0EF3:0079","debert58","Surveyor 20"]
["0F4C:00F4:0F4C:0079","debert58","Surveyor 21"]
["0FA5:00F9:0FA5:0079","debert58","Surveyor 22"]
["0FE2:0004:0FFB:010E","debert58","Hanging Gardens of Suasura"]
["0FFE:0001:0FFE:0079","debert58","Ranger 23"]
["0FFE:007E:0FFE:0079","debert58","Voyager 23"]
["0FFE:00FE:0FFE:0079","debert58","Surveyor 23"]
["06C9:007C:08F1:0065","Saudom83",""]
["011A:007B:074F:002F","jonzster",""]
["02F3:0080:0BA5:0079","jonzster","Diplo Research Colony II"]
["0ED8:0078:07F4:01FA","SHADY SHIFF","S Class"]
["0E01:007D:0B8B:0079","Rat_Armagedon",""]
["01B2:007D:05CB:0046","EdwoodScissors","Resort De La Mer (683)"]
["022F:0081:07B2:0053","EdwoodScissors","FOB 595 Luna Rosa"]
["02B7:0080:0C34:004E","EdwoodScissors","The Outlook 691"]
["06BF:0081:09B2:0079","EdwoodScissors","FOB 216 Launchpad"]
["0781:0083:0817:0070","EdwoodScissors","FOB 051"]
["07FA:0080:0355:0079","EdwoodScissors","FOB 477"]
["0807:007F:07FD:0082","EdwoodScissors","The Core 003"]
["08B2:007F:06B9:0065","EdwoodScissors","FOB 148"]
["09DF:007C:072B:0051","EdwoodScissors","Build FOB 209 here"]
["0A3A:007F:0CD6:0031","EdwoodScissors","FOB 545"]
["0A4D:007B:081D:0055","EdwoodScissors","FOB 236"]
["0A9B:007D:09BB:005D","EdwoodScissors","FOB 320"]
["0BEE:007D:0856:0033","EdwoodScissors","FOB 404"]
["0ACD:007D:0300:0025","Greylegion44",""]
["013B:0080:0975:0075","Gupporu","cool planet bro"]
["021F:007E:04AF:0065","bL00dY650","Dahas Outpost"]
["07E8:007F:01A9:005E","bL00dY650","Dunings Outpost"]
["0B80:0082:0591:0079","darcyls331",""]
["0EAA:0082:06AD:0029","Robert",""]
["068B:0083:0E22:0079","vaughanarama",""]
["09D8:007F:01B1:005B","Blaze4321","Blaze4321 Base Ops"]
["02D8:007D:0DCD:0011","Slade Braddock",""]
["056B:0082:0F38:0043","Slade Braddock",""]
["0EEE:007E:0440:000E","Slade Braddock",""]
["0B56:0081:0D54:0079","ForkInBrain","Portal Outpost"]
["02E6:0080:0C40:0079","Khayree Sigma","Axent-Hadl Colony"]
["0E38:007C:0976:0079","Khayree Sigma","Tolefar Base"]
["0333:007F:0546:0079","zeenewbian","BHS Gamma � Delta @0F00+150"]
["038C:007E:039E:0079","zeenewbian","BHS Sagan Memorial Alpha Branch"]
["03CC:007C:0959:0079","zeenewbian","BHS Gamma � Delta @0F00+250"]
["03FE:007C:051A:0079","zeenewbian","BHS Gamma � Delta @0F00+200"]
["042F:0079:0D55:006A","zeenewbian","Xenu�s New Lennon Temp"]
["0481:007C:0323:0079","zeenewbian","BHS Gamma � Delta @0F00+100"]
["04C6:007D:0905:0079","zeenewbian","BHS Gamma � Delta @0F00+350"]
["061C:007F:07C9:0079","zeenewbian","BHS Gamma � Delta @0F00+500"]
["064A:007C:09B0:0079","zeenewbian","BHS Gamma � Delta @0F00+450"]
["071D:007F:0E6C:0079","zeenewbian","BHS Gamma � Delta @0F00+50 Kly in"]
["07CE:0080:095F:0079","zeenewbian","BHS Gamma � Delta @0F00+550"]
["0800:0080:0000:0079","zeenewbian","BHS Alpha � Beta @ Z=0000"]
["0800:0080:0F00:0079","zeenewbian","BHS Gamma � Delta Middle-Y @ 0F00"]
["0800:0080:0FFE:0079","zeenewbian","BHS Gamma � Delta Boundary Middle-Y"]
["0802:007D:0807:0079","zeenewbian","BHS Gamma � Delta @ The Core"]
["0838:0082:0794:0079","zeenewbian","BHS Gamma � Delta @0F00+650"]
["08A3:007E:0751:0079","zeenewbian","BHS Gamma � Delta @0F00+600"]
["0972:007D:0A82:0079","zeenewbian","BHS Gamma � Delta @0F00+400"]
["09DF:0081:0BA0:0079","zeenewbian","Cold Mountain"]
["09ED:007F:0720:006D","zeenewbian","New Xenutopia"]
["0BB7:0081:0DEC:0079","zeenewbian","BHS A-B @0000 +100Kly"]
["0BC8:007B:090A:0079","zeenewbian","BHS Gamma � Delta @0F00+300"]
["0D14:0081:03F5:0079","zeenewbian","Black Hole Suns � Beta Branch"]
["0DEF:007B:06D5:0079","zeenewbian","BHS A-B @0000 +200Kly"]
["0E1F:007E:09FE:0079","zeenewbian","Black Hole Suns � Delta Branch"]
["0E41:0080:0B26:00EB","zeenewbian","Portal on Jillusiu"]
["0E43:0071:0AD4:0088","zeenewbian","Xenutopia Portal"]
["0FFE:00FE:0FFE:0001","zeenewbian","Fin System Portal"]
