bh-coords,bh-region,bh-system,ex-coords,ex-region,ex-system
0000:007B:05DD:0079,Niomin Cloud,Chyehyt-Eba,06FA:0082:0FFE:0039,,
0000:0081:0788:0079,Mamonjan Band,Uginok-Osboyt,0C52:007C:0EAA:004B,,
0012:007D:084F:0079,Waxaca Nebula,Violaf-Odega,0D3A:007B:0DE4:0007,Zamiamps Expanse,Yidruth XVIII
0025:007D:0712:0079,Monesta Mass,Malavoi-Sha,02F2:007F:0E03:0008,Levskylan Nebula,Tatsun
0044:0082:057D:0079,Azquez Boundary,Aifugusi,0FFE:0083:073D:0054,Pikent Band,Aibara
005A:007C:064D:0079,Riwate Adjunct,Udamat,0F9F:007C:097C:0051,Mogonesha Void,Dalokn
007E:007B:05E4:0079,Gigingr Terminus,Sehara,0DB6:007D:0D35:004A,Hawille Shallows,Kuyamakiz
00A6:0083:063A:0079,The Arm of Ottinge,Mapthic-Faze,04F8:0080:0121:000B,The Arm of Ottinge,Mapthic-Faze
00A7:007F:0A16:0079,Wohlifs-Masse,"""�Nushimaba""""-""",00A6:007E:0629:004F,"Linogi-Dovo""""-""",""""
00AA:007E:0629:0079,Revitre-Cluster,"""�Yuzaka XV""""-""",0869:007B:0F7B:0056,"Usnarela�-""",""""
00DB:007D:0249:0079,Seurit,Lipkins-Niwat,0000:0080:0786:001B,,
00E1:007F:0A13:0079,Romieni Expanse,Koband-Nida,0BC9:007F:0E4C:004F,Lefryes Void,Gutayg-Bikin VII
00E3:0081:09CD:0079,Lolcaea Adjunct,Gurois XIII,0E5F:0081:0B7F:0053,,
00ED:007C:07AA:0079,Gutsio Band,Immyios-Libor,0403:0080:0DC5:0068,Gibbyifilt Terminus,Weston-Sesa
00FA:007C:03F8:0079,Thmana,Ixingxo-Riding,07FA:007F:0000:0033,Nofren Expanse,Guicheok
010B:007A:0848:0079,Hetesl Sector,Kunita,06FB:0082:012C:004B,Xetrgg,Kunita
010C:007A:0847:0079,Lubalni Fringe,Iseppug,0CAB:0080:02ED:0049,Ramitow Fringe,Iseppug
010C:007A:0848:0079,Rigongta,Pazuzu-Mye,0EA7:007E:09C4:0076,Riflex Terminus,Rigongta
010C:007A:0849:0079,Nugchebo,Hongfa XVII,0989:007B:0EB9:002A,Gastros Cluster,Hongfa XVII
