bh-coords,bh-region,bh-system,ex-coords,ex-region,ex-system
0000:0000:0000:0079,Thoslo Quadrant,SAS.A83,0FFE:007E:0082:003D,Vasika Boundary,Uscarlen
0000:0000:0001:0079,Sea of Yiforcy,Mubskada XV,03CE:007F:0FFE:0001,Akwaxac Spur,Laksum-Ihama
0000:0000:0FFB:0079,Sea of Ijinbors,Enings-Oot XIX,08F8:0081:0000:0002,Uklosk Void,Bunyevo IX
0000:0000:0FFC:0079,Genowit,Ainkun XIX,0923:0083:0FFE:003E,Uzwanj Fringe,Ukrasa-Uson XVIII
0000:0000:0FFD:0079,Syriswift,Tugaskel X,01FB:007C:0000:0002,Awngote Cluster,Sifelts-Nesisk
0000:0000:0FFE:0079,Takengun Expanse,Qagchi,0FFE:007D:0DD7:003D,Wamoolf Mass,Ezuohe XIV
0000:0001:0000:0079,Riszewamya,Carlit-Muhi,0346:0082:0FFE:000D,Ahastia,Sinehe
0000:0001:0001:0079,Eograb Quadrant,Yachida-Kip,07AB:007B:0000:0049,Galencoo Fringe,Nuelig III
0000:0001:0FFA:0079,Lehoffet Boundary,Sudokumen,0C80:007D:0000:000E,The Arm of Ganoose,Nuveykin
0000:0001:0FFB:0079,Agmanit Cluster,Nutanoy VII,088F:007E:0FFE:004A,Actones Anomaly,Helezn VI
0000:0001:0FFC:0079,Babagemi,Loheilan,027A:007F:0000:000E,Wembaum Spur,Ecityanaw
0000:0001:0FFD:0079,Iphita Boundary,Ichine XVII,0FFE:0081:0E52:004A,Huneidescu Anomaly,Aeydard IV
0000:0002:0FFA:0079,Japakot,Iuraka-Ugsv,0000:0080:0F19:0057,Wikirn Void,"Ibma'agd"
0000:0002:0FFB:0079,The Arm of Jajabe,Fremkhoy XIII,0CA4:0081:0000:001A,Kennessi Nebula,Aadirfl-Aka
0000:0002:0FFC:0079,Idlerc Cluster,Anoyam-Misom,0868:0082:0FFE:0056,Zahukchun,Kuzent
0000:0002:0FFD:0079,Mumboes Terminus,Vushcuhi,029D:007C:0000:001A,Yaevale,Ikovsk
0000:0002:0FFE:0079,Sea of Usbacc,Sadoma IV,0FFE:007D:0E73:0056,Enmyoi Anomaly,Owasag XVIII
0000:007B:0266:0079,Urberg Conflux,Aeguror,0021:0083:0251:0036,Mufric Void,Uginst V
0000:007B:0915:0079,The Arm of Agybol,Sredko,0FED:007D:0924:002E,Boisow,Nekangyax
0000:007C:01E0:0079,Gaithh Terminus,Ordnet,0BFD:007E:0FFE:0006,Koshinso Fringe,Maringju
0000:007C:01E8:0079,Pahontie,AlyKillo I,0000:0083:024B:0004,Hobadzioj,Kedato-Uuto
0000:007C:0915:0079,Negxian Conflux,Iazusc XIV,017A:0080:035B:0076,Dayahu Band,Yesteri-Liborn
0000:007C:0BA2:0079,Sulaya Instability,Niraiak-Aronq,016F:007E:0240:0052,Iccorn,Anyunga-Kodup
0000:007E:0001:0079,Nutpaji Fringe,Kazixi-Puphe,0B02:007F:0000:003B,Sea of Etulla,Odderzhu
0000:007E:0002:0079,Auciates Nebula,Roezez,0FFE:007D:059E:0068,Noirei Fringe,Xabyai-Seve
0000:007F:0000:0079,Vedulay Cloud,Olenwag [Black Hole],012D:007E:0000:006D,The Arm of Agnientge,Gulang
0000:007F:0001:0079,Ureleru,Maryuch XIII,0FFE:007F:0CF6:0030,Geylder Fringe,Daxiga
0000:007F:0FFE:0079,Sea of Siwain,Tebur [Black Hole],0CC7:007C:0000:006D,Mojole,Ort
0000:0080:069F:0079,Sewaiku Shallows,Luxemb-Isgar,00CA:007F:0B94:0071,Gumatseolt,Olevka
0000:0080:07B2:0079,Gustavi Band,Cilitiw-Aka,0EE2:0082:0BF1:0072,Cibais Fringe,Redbridg
0000:0081:0458:0079,Wayilow,Velusan-Nocip,015C:007B:0250:000C,Yowiljansk Instability,Nachiun-Aitac VII
0000:0081:0688:0079,Iborny Sector,Lesdanle,00A4:007F:0B55:000B,Irpiaple Boundary,Barubta-Apoto
0000:0081:0A45:0079,Caygnia Expanse,[shb] Oufimskyv,0BCD:007E:00AB:001F,Sea of Wedradab,[shb] Signume-Nosuk
0000:0082:0451:0079,Idgcut,Urlova-Regu,08FC:007C:0FFE:001A,Ilkerwi,Xionggg-Uzu
0000:0082:050A:0079,Axawest,Tivenym-Aca IV,0FFE:007D:080D:002E,Anbroc Fringe,Yelkineli
0000:0082:06B0:0079,Fatmer,Tajimi,03F6:007C:0EF4:004A,Aseely,Chkana-Niqung VIII
0000:0082:0794:0079,Bufforr Cluster,Algodon,05E9:0083:0052:0019,Nowicks Instabilitiy,Stpaula-Baro XIII
0000:0083:0793:0079,Sea of Aljida,Otmanbot,064F:007E:003A:0025,Helderli Mass,Dujian-Iliu
0001:0000:0000:0079,Nitwerdr Band,Namouthse XI,0000:007C:01E8:0067,Pahontie,Eldran X
0001:0000:0FFC:0079,Ibumik,Yacente-Ruqen,0000:007B:0106:0068,Jipool,Bulafj-Bulag
0001:0000:0FFD:0079,Pahernavo Nebula,Tousta,0FFE:007D:0A4F:002C,Nufous Mass,Kapalma VIII
0001:0000:0FFE:0079,Arkator,Orbrid,0000:007E:0AD5:0068,Ritdashan Spur,Tovkazhma
0001:0001:0FFA:0079,Musotrze Cloud,Pugaoz IX,0C42:007D:0FFE:0039,Jawongq Sector,Epikam VI
0001:0001:0FFB:0079,Ouzuma,Myractiu,0000:007F:0094:0075,Ofredsp,Hachiku-Asley
0001:0001:0FFC:0079,Unwinino Spur,Iemeil,0FFE:0080:0ADF:0038,Kalumbal Expanse,Yoroza-Niko
0001:0001:0FFD:0079,Rerucid Nebular,[sh] Espucat,0000:0081:0A45:0074,Caygnia Expanse,"[shb] Pavna'ilsk XIX"
0001:0001:0FFE:0079,Raitro Cloud,[sh] Arbinz-Ruti,0FFE:0082:010B:0038,Caffernob Nebular,[shb] Bihutah X
0001:0002:0FFA:0079,Kuanov Cloud,Idningara,08FA:0080:0000:0009,Eiener Boundary,Ruysteu
0001:0002:0FFB:0079,Iumfielt Mass,Dalili-Runi XII,0C1D:0082:0FFE:0045,Tezcat Adjunct,Usetaa-Ouchi VIII
0001:0002:0FFC:0079,The Arm of Opanyu,Abasekun XIV,0000:0083:0074:0009,Gobiraran Instability,Urderias
0001:0002:0FFD:0079,Pessio Void,Ugcaka,0FFE:007C:0B05:0044,Repomo Void,Wuzhr-Iko
